StockCode,InvoiceYearMonth,Country,total_quantity,avg_price_monthly,price_change,log_total_quantity
10002,2010-12-01,United Kingdom,143,0.9972727272727272,0.0,4.969813299576001
10002,2011-01-01,United Kingdom,147,0.8661224489795918,-0.1311502782931354,4.997212273764115
10002,2011-02-01,United Kingdom,51,0.8805882352941176,0.014465786314525775,3.9512437185814275
10002,2011-03-01,United Kingdom,28,0.9892857142857142,0.10869747899159665,3.367295829986474
10002,2011-04-01,United Kingdom,69,0.85,-0.13928571428571423,4.248495242049359
10080,2011-02-01,United Kingdom,2,0.85,0.0,1.0986122886681098
10080,2011-06-01,United Kingdom,60,0.3899999999999999,-0.4600000000000001,4.110873864173311
10080,2011-07-01,United Kingdom,24,0.3899999999999999,0.0,3.2188758248682006
10080,2011-08-01,United Kingdom,60,0.3899999999999999,0.0,4.110873864173311
10080,2011-09-01,United Kingdom,60,0.3899999999999999,0.0,4.110873864173311
10080,2011-10-01,United Kingdom,6,0.3899999999999999,0.0,1.9459101490553132
10080,2011-11-01,United Kingdom,91,0.3899999999999999,0.0,4.5217885770490405
10125,2011-01-01,France,20,0.42,0.0,3.044522437723423
10125,2011-03-01,France,40,0.85,0.43,3.713572066704308
10125,2011-05-01,France,100,0.85,0.0,4.61512051684126
10125,2011-07-01,France,100,0.85,0.0,4.61512051684126
10125,2011-09-01,France,150,0.85,0.0,5.017279836814924
10125,2011-11-01,France,60,0.85,0.0,4.110873864173311
10125,2011-01-01,Germany,40,0.42,0.0,3.713572066704308
10125,2011-04-01,Germany,20,0.85,0.43,3.044522437723423
10125,2011-08-01,Germany,20,0.85,0.0,3.044522437723423
10125,2011-10-01,Germany,20,0.85,0.0,3.044522437723423
10125,2011-12-01,Germany,20,0.85,0.0,3.044522437723423
10125,2010-12-01,United Kingdom,154,0.59,0.0,5.043425116919247
10125,2011-01-01,United Kingdom,153,0.5519607843137255,-0.03803921568627444,5.0369526024136295
10125,2011-03-01,United Kingdom,74,0.871081081081081,0.3191202967673554,4.31748811353631
10125,2011-04-01,United Kingdom,62,0.8500000000000001,-0.021081081081080866,4.143134726391533
10125,2011-05-01,United Kingdom,7,0.85,-1.1102230246251565e-16,2.0794415416798357
10125,2011-06-01,United Kingdom,15,0.954,0.10399999999999998,2.772588722239781
10125,2011-07-01,United Kingdom,77,0.8601298701298702,-0.09387012987012977,4.356708826689592
10125,2011-08-01,United Kingdom,65,0.85,-0.010129870129870211,4.189654742026425
10125,2011-09-01,United Kingdom,40,0.85,0.0,3.713572066704308
10125,2011-10-01,United Kingdom,31,0.8751612903225806,0.02516129032258063,3.4657359027997265
10125,2011-11-01,United Kingdom,2,0.85,-0.02516129032258063,1.0986122886681098
10125,2011-12-01,United Kingdom,6,0.85,0.0,1.9459101490553132
10133,2011-06-01,Canada,20,0.85,0.0,3.044522437723423
10133,2011-07-01,Canada,20,0.42,-0.43,3.044522437723423
10133,2010-12-01,United Kingdom,110,0.6988181818181819,0.0,4.709530201312334
10133,2011-01-01,United Kingdom,180,0.6324444444444445,-0.06637373737373742,5.198497031265826
10133,2011-02-01,United Kingdom,29,0.903793103448276,0.27134865900383154,3.4011973816621555
10133,2011-03-01,United Kingdom,83,0.85,-0.053793103448276036,4.430816798843313
10133,2011-04-01,United Kingdom,76,0.8602631578947367,0.010263157894736752,4.343805421853684
10133,2011-05-01,United Kingdom,33,0.85,-0.010263157894736752,3.5263605246161616
10133,2011-06-01,United Kingdom,506,0.4932806324110672,-0.3567193675889328,6.2285110035911835
10133,2011-07-01,United Kingdom,790,0.5061518987341772,0.012871266323110031,6.673297967767654
